company_id,file_name,section,overall_sentiment,sentiment_score,confidence,chunk_count,positive_ratio,negative_ratio
1540184,1540184_10K_2021_0001540184-21-000004.json,item_7,Neutral,0.0,1.0,321,0.07,0.08
1540184,1540184_10K_2021_0001540184-21-000004.json,item_1A,Negative,-0.39,1.0,282,0.05,0.52
1540755,1540755_10K_2021_0001564590-21-012868.json,item_7,Positive,0.06,1.0,77,0.25,0.17
1540755,1540755_10K_2021_0001564590-21-012868.json,item_1A,Negative,-0.42,1.0,250,0.1,0.59
1560327,1560327_10K_2020_0001560327-21-000043.json,item_7,Positive,0.07,1.0,106,0.25,0.17
1560327,1560327_10K_2020_0001560327-21-000043.json,item_1A,Negative,-0.4,1.0,217,0.06,0.53
1561550,1561550_10K_2020_0001564590-21-009770.json,item_7,Positive,0.15,1.0,98,0.29,0.1
1561550,1561550_10K_2020_0001564590-21-009770.json,item_1A,Negative,-0.44,1.0,218,0.03,0.58
1566610,1566610_10K_2020_0001493152-21-007445.json,item_7,Neutral,-0.04,1.0,85,0.12,0.15
1566610,1566610_10K_2020_0001493152-21-007445.json,item_1A,Negative,-0.38,1.0,74,0.04,0.5
1566895,1566895_10K_2021_0001566895-21-000007.json,item_7,Positive,0.18,1.0,122,0.32,0.13
1566895,1566895_10K_2021_0001566895-21-000007.json,item_1A,Negative,-0.42,1.0,161,0.04,0.54
1567771,1567771_10K_2020_0001493152-21-013331.json,item_7,Negative,-0.05,1.0,8,0.12,0.12
1567771,1567771_10K_2020_0001493152-21-013331.json,item_1A,Neutral,0.0,1.0,1,0.0,0.0
1567900,1567900_10K_2020_0001437749-21-007800.json,item_7,Neutral,0.02,1.0,26,0.12,0.08
1567900,1567900_10K_2020_0001437749-21-007800.json,item_1A,Neutral,0.0,1.0,1,0.0,0.0
1568100,1568100_10K_2021_0001568100-21-000011.json,item_7,Positive,0.1,1.0,120,0.23,0.12
1568100,1568100_10K_2021_0001568100-21-000011.json,item_1A,Negative,-0.41,1.0,230,0.04,0.52
1576169,1576169_10K_2020_0001564590-21-011839.json,item_7,Negative,-0.17,1.0,97,0.14,0.32
1576169,1576169_10K_2020_0001564590-21-011839.json,item_1A,Negative,-0.42,1.0,169,0.03,0.54
1576914,1576914_10K_2021_0001628280-21-012152.json,item_7,Negative,-0.14,1.0,113,0.11,0.26
1576914,1576914_10K_2021_0001628280-21-012152.json,item_1A,Negative,-0.41,1.0,207,0.01,0.52
1580808,1580808_10K_2020_0001580808-21-000043.json,item_7,Negative,-0.16,1.0,66,0.14,0.33
1580808,1580808_10K_2020_0001580808-21-000043.json,item_1A,Negative,-0.47,1.0,203,0.06,0.63
1585521,1585521_10K_2021_0001585521-21-000048.json,item_7,Positive,0.14,1.0,92,0.23,0.07
1585521,1585521_10K_2021_0001585521-21-000048.json,item_1A,Negative,-0.41,1.0,267,0.04,0.54
